epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.172,1.8489,3.07761,1.59183,0.53414,0.31852,0.27936,0.13312,1.8273,2.03938,1.59944,0.000207882,0.000207882,0.000207882
2,251.591,1.76893,2.1891,1.54684,0.52483,0.43093,0.39548,0.1938,1.75643,1.78702,1.54206,0.000407975,0.000407975,0.000407975
3,360.217,1.7239,1.98613,1.51972,0.60834,0.43123,0.42447,0.20516,1.70411,1.72459,1.48433,0.000599817,0.000599817,0.000599817
4,469.887,1.71829,1.87,1.51005,0.61837,0.45639,0.49223,0.25095,1.68307,1.58055,1.48364,0.000587875,0.000587875,0.000587875
5,578.672,1.68098,1.72563,1.48447,0.54477,0.59469,0.53726,0.26889,1.64558,1.47418,1.43412,0.0005755,0.0005755,0.0005755
6,686.789,1.64298,1.63062,1.46231,0.61647,0.56574,0.58254,0.31147,1.63316,1.42231,1.43269,0.000563125,0.000563125,0.000563125
7,795.401,1.61866,1.57704,1.43544,0.63862,0.60296,0.62456,0.33998,1.60442,1.3952,1.43146,0.00055075,0.00055075,0.00055075
8,903.668,1.59684,1.50891,1.43092,0.67592,0.57222,0.62059,0.34303,1.59732,1.34642,1.43301,0.000538375,0.000538375,0.000538375
9,1011.19,1.57697,1.4699,1.41385,0.67086,0.63049,0.647,0.36264,1.55824,1.32576,1.38278,0.000526,0.000526,0.000526
10,1122.85,1.55407,1.39717,1.38984,0.68437,0.63554,0.68455,0.39212,1.53504,1.27895,1.38261,0.000513625,0.000513625,0.000513625
11,1231.58,1.54614,1.37705,1.38724,0.71445,0.628,0.68947,0.38731,1.55932,1.26094,1.35945,0.00050125,0.00050125,0.00050125
12,1339.21,1.53454,1.34896,1.38256,0.71851,0.65555,0.71599,0.41374,1.51668,1.21954,1.36386,0.000488875,0.000488875,0.000488875
13,1447.04,1.51493,1.31889,1.3692,0.72722,0.67936,0.72293,0.42472,1.50848,1.20736,1.35997,0.0004765,0.0004765,0.0004765
14,1556.14,1.5047,1.3062,1.36598,0.71705,0.70469,0.7368,0.43324,1.47148,1.1643,1.3359,0.000464125,0.000464125,0.000464125
15,1665.4,1.47794,1.26053,1.3523,0.75136,0.69007,0.7478,0.43938,1.48356,1.14899,1.33279,0.00045175,0.00045175,0.00045175
16,1774.05,1.48613,1.25258,1.3543,0.74372,0.70537,0.76202,0.45832,1.45108,1.12043,1.31077,0.000439375,0.000439375,0.000439375
17,1885.96,1.45684,1.22076,1.33216,0.73073,0.7041,0.75544,0.4602,1.42747,1.11059,1.29677,0.000427,0.000427,0.000427
18,1996.2,1.45619,1.21059,1.33119,0.74581,0.73754,0.78317,0.48443,1.42526,1.08195,1.29906,0.000414625,0.000414625,0.000414625
19,2104.52,1.43206,1.17087,1.3141,0.7684,0.7255,0.78173,0.47532,1.4365,1.07983,1.28986,0.00040225,0.00040225,0.00040225
20,2212.59,1.42519,1.15578,1.30744,0.79302,0.72887,0.79455,0.495,1.40769,1.05221,1.29159,0.000389875,0.000389875,0.000389875
21,2320.11,1.4084,1.12494,1.29588,0.76573,0.75369,0.79483,0.48069,1.42214,1.03728,1.29046,0.0003775,0.0003775,0.0003775
22,2427.77,1.41444,1.12007,1.29783,0.7825,0.72329,0.80854,0.51464,1.38385,1.03044,1.26899,0.000365125,0.000365125,0.000365125
